,year_month,Aluminium_price,Copper_price,Gold_price,Lead_price,Nickel_price,Platinum_price,Uranium_price,Zinc_price,Iron_price,Coal_price,Titanium_price,Diamond_price
38,2015-03,3.2515220834019516,3.7722116519480173,3.0715922866649445,3.251986445362154,4.1407222520499225,3.0579125201223007,1.5692066481140747,3.3072917761793055,1.7638022240745925,1.77757180469141,0.9762444881238859,2.338854746252323
39,2015-04,3.2579124550423915,3.78061430256551,3.0789918040866975,3.3005574434180303,4.104299286138895,3.0632825256302305,1.5846138761717827,3.343782654669529,1.7183355789085066,1.770483809431108,0.9715124191075531,2.341038631677523
40,2015-05,3.264320634080703,3.799707476645654,3.078335028470093,3.301863497876599,4.1310865700329975,3.057614907618507,1.5522117846651329,3.35976560631263,1.7803173121401512,1.7897921677306754,0.978331192351738,2.3428173146357327
41,2015-06,3.237292337567459,3.7672554015843063,3.0728525638948585,3.2653367779679177,4.106063344915765,3.0377127789387313,1.5588663982348347,3.3205513001839573,1.7967824117013078,1.783260232872949,0.9853007035931864,2.344981413927258
42,2015-07,3.2255733298126668,3.738137461813156,3.0535275586442796,3.2463891453707787,4.057412501285453,3.006180697638505,1.5593395374927694,3.302246726953788,1.7192483984479463,1.7626785637274363,0.9873444461031727,2.3412366232386925
43,2015-08,3.1976664261935657,3.7093674966346755,3.048491946871532,3.2282800255216904,4.016171203009231,2.9959725107169564,1.55967392868753,3.257431064471873,1.7496590320948997,1.7405205860536648,0.9780709019742114,2.3394514413064407
44,2015-09,3.205628752978613,3.716018528491076,3.050888928523227,3.2254672304902607,3.99563519459755,2.9862789559059912,1.5696014676406362,3.234840550023309,1.755493728415119,1.7107940999303275,0.9837615602861649,2.3378584290410944
45,2015-10,3.1883403379363533,3.716780884671645,3.0640573612743034,3.2370185891307184,4.014742842208655,2.990986704614581,1.5678429242943666,3.236892754945299,1.725258066359961,1.6999244027424767,0.9901389800512806,2.344785122632661
46,2015-11,3.171322400433563,3.679780363629323,3.036448688184863,3.2081254643436785,3.964342143024959,2.9486319733149133,1.556603989486027,3.198560871823451,1.670802284260944,1.7270530113538574,0.9964241039550911,2.3420276880874717
47,2015-12,3.176077471710424,3.6665536354526393,3.028583098211779,3.230993129075263,3.9395901842185026,2.9357881525719103,1.547603797321431,3.182942219379953,1.6074550232146685,1.6881527555915663,0.9891248652135917,2.3386556655787003
48,2016-01,3.1709654063108412,3.650181199879013,3.0406808744297305,3.216850135830107,3.9283478365038147,2.9320880048445783,1.5404963186200111,3.178949982808632,1.6220066730068048,1.6909930320998694,0.9886169183932283,2.335858911319818
49,2016-02,3.1837848602926644,3.6624250148341932,3.080634642021122,3.2481449872877777,3.919640218268313,2.966095800223908,1.5290857324994216,3.2325323614590036,1.67052415778208,1.7018269303971394,0.990392139185178,2.3386556655787003
50,2016-03,3.1870539459560248,3.6945090962081633,3.0950685973788867,3.2572041453189473,3.940219928864953,2.9860220070171506,1.4745631169673885,3.2565974927628454,1.749736315569061,1.7207379770184252,0.990392139185178,2.3384564936046046
51,2016-04,3.197208333839217,3.685841932447058,3.0930937975041273,3.2377112577136704,3.947153531889007,2.9971460141025696,1.4422053085873572,3.2675013764216234,1.784759894664005,1.7189166860148613,0.9994089575045533,2.3392526340327
52,2016-05,3.195712893293945,3.6728687390946924,3.0995962442977603,3.234188147853202,3.938206900498338,3.0144427514205905,1.44578947458817,3.271899663415391,1.741387992479269,1.734319680859007,0.9939209588012868,2.3316297176299323
53,2016-06,3.2043666708090517,3.6656406778915844,3.1067394031133717,3.233987782369209,3.9511497874042116,2.993164817641717,1.4350766387681586,3.3059958827708047,1.7158362751649938,1.767823498007517,0.9701887530968911,2.3364597338485296
54,2016-07,3.215102279761306,3.6862595130843614,3.127230660704722,3.263607892347666,4.010138358691193,3.0399172248404187,1.4153248611279303,3.3394183130801838,1.7578513436855798,1.7951149856303632,0.9667282209873845,2.3350565194390915
55,2016-08,3.2182788246913994,3.6768473517470577,3.1260755814519983,3.2638861166479174,4.0140778666569705,3.048801336728134,1.414897415724466,3.3578439265576914,1.7845459740545226,1.8217754671834636,0.9651217044258652,2.335858911319818
56,2016-09,3.205862297509209,3.674144794906675,3.122810045369806,3.2889997788267835,4.007308335799574,3.020344706206098,1.3945392313722043,3.3594970007603213,1.761852694466383,1.8346114207226871,0.9715124191075531,2.3364597338485296
57,2016-10,3.223050700959037,3.6749769896136906,3.102241822194201,3.3069328117201144,4.011334776874355,2.982323428758867,1.3302107845715279,3.3638938977741004,1.7715139899796666,1.9231921904206675,0.9661933754987232,2.337459261290656
58,2016-11,3.2393734291871885,3.7364707497817613,3.090084875947886,3.338571933945403,4.046929489876061,2.97887866269861,1.2659375190169888,3.4091442403691143,1.8639173769578605,1.9501213475113734,0.9699235350844329,2.3392526340327
59,2016-12,3.235623122884068,3.7528432860238046,3.0609365508739157,3.3443603390932433,4.040391668067096,2.96365953143552,1.2897561281968979,3.4256666568597534,1.9031985470429784,1.9041202134761996,0.9691269078688881,2.3402457615679317
60,2017-01,3.2520666843818122,3.760012086662591,3.0758529383656597,3.3507555064995143,3.9991269148988016,2.987849416360611,1.3574332942458953,3.433053226521388,1.9053100621160854,1.9369658971078703,0.9664608805776479,2.339848783037637
61,2017-02,3.272004146243442,3.7738531559708615,3.0920047212374944,3.3638938977741004,4.027524921330944,3.004276580375156,1.4005834295679649,3.454276019016572,1.9515317905423482,1.9222062774390163,0.9691269078688881,2.3406423775607053
62,2017-03,3.2815619494939137,3.765268375152774,3.0907395513446727,3.358199781876386,4.009312766489671,2.983400738180538,1.3978610388596728,3.443453470481428,1.9427519204298138,1.8982313845130967,0.9715124191075531,2.3418300569205104
63,2017-04,3.2863192183904633,3.754646640783276,3.103829225033932,3.3481804210422417,3.9824961132109293,2.9827422172326794,1.3655864978734935,3.4174578531331217,1.8464608251293324,1.8970219560603634,0.9717766688765229,2.3378584290410944
64,2017-05,3.2826544758187164,3.7481538655950084,3.0953442683196903,3.3279643347849612,3.961663995976643,2.969588463701916,1.3349104705976955,3.41338359662314,1.7953933349312894,1.8716313045375537,0.9837615602861649,2.334051440346892
65,2017-06,3.2769524321930104,3.75737790980389,3.1008742323350567,3.3288473811184227,3.9510465005380393,2.9703236264385033,1.299348789831753,3.410506913070471,1.759516759462188,1.8987251815894934,0.9778104555004967,2.3348556896172914
66,2017-07,3.2835381303136955,3.777072793206898,3.0925263965442973,3.3558162666000984,3.9769015867652624,2.964560791679748,1.3107464013333299,3.445116562099527,1.8308451923086115,1.912168896059627,0.9806668121651729,2.336859820916809
67,2017-08,3.3087874693611417,3.811951834078099,3.10813623946712,3.370784260239446,4.036407482285049,2.9891930260779755,1.3110163622890063,3.4743222412563575,1.8812134162550191,1.9436923271060167,0.9730955113170102,2.3328422669943514
68,2017-09,3.32686231399842,3.8180388471042845,3.1194174326175887,3.3755525771180923,4.050302403962402,2.986646352813481,1.311642346231184,3.494068415928686,1.8544882250444303,1.9650134502722478,0.9785913268200747,2.330413773349191
69,2017-10,3.332566984717242,3.8329941746021543,3.1078181339562287,3.399327532158679,4.051648300165308,2.9653759345522412,1.3075932716496323,3.513405731386202,1.7900035203904894,1.9610887197678961,0.9793707966348859,2.330007700872759
70,2017-11,3.3252637009805985,3.834200986321035,3.107404815581335,3.3913901623602563,4.075729399740899,2.9708652021131803,1.3577533995434992,3.5084730142356015,1.8078055322706246,1.9608986773266608,0.9817008471343848,2.329194415088451
71,2017-12,3.321527573742131,3.834668285033318,3.102317871839242,3.39973049182494,4.060723802834637,2.9594993076418614,1.3892103978671373,3.5053271283017455,1.8588378514285855,1.979912410334717,0.9858125415804252,2.332034277027518
72,2018-01,3.345917038499966,3.8491645533068595,3.124902227193857,3.4125676377969096,4.1102697632051886,2.9954239262990083,1.3675334014052372,3.536786831985896,1.88275215561308,1.9889155205126867,0.9858125415804252,2.3310221710418286
73,2018-02,3.3366948296595473,3.8455026759534943,3.123705218773447,3.4117985210399864,4.133407163041076,2.996009739982257,1.3385089161385455,3.548131344747943,1.889077492650064,1.966986025117938,0.9858125415804252,2.329397879361043
74,2018-03,3.3199730879105918,3.8322110314508047,3.1227148499036264,3.3788292554443093,4.126502364305014,2.9801306853344047,1.3396083301570492,3.514653989080068,1.8472641017707645,1.951823035315912,0.9964241039550911,2.3326404103874627
