latitude,longitude,Mineral,id,xcoord,ycoord,n,distance,feature_x,feature_y,nearest_x,nearest_y,left,bottom,right,top,Grid_id,ADM3
-25.770280000000000,28.054720000000000,Gold,"1",28.031267060000001,-25.746111270000000,"1",0.033677409408332,28.054720000000000,-25.770280000000000,28.031267060000001,-25.746111270000000,28.000000000000000,-25.920000000000002,28.160000000000000,-25.760000000000002,"3291",City of Tshwane Metropolitan Municipalit
-25.770099999999999,28.239699999999999,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.087178903577241,28.239699999999999,-25.770099999999999,28.152546760000000,-25.767984819999999,28.160000000000000,-25.920000000000002,28.320000000000000,-25.760000000000002,"3338",City of Tshwane Metropolitan Municipalit
-25.766850000000002,28.241869999999999,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.089330448451409,28.241869999999999,-25.766850000000002,28.152546760000000,-25.767984819999999,28.160000000000000,-25.920000000000002,28.320000000000000,-25.760000000000002,"3338",City of Tshwane Metropolitan Municipalit
-25.757780000000000,28.116109999999999,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.037838813809765,28.116109999999999,-25.757780000000000,28.152546760000000,-25.767984819999999,28.000000000000000,-25.760000000000002,28.160000000000000,-25.600000000000001,"3292",City of Tshwane Metropolitan Municipalit
-25.749469999999999,28.138330000000000,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.023343410730440,28.138330000000000,-25.749469999999999,28.152546760000000,-25.767984819999999,28.000000000000000,-25.760000000000002,28.160000000000000,-25.600000000000001,"3292",City of Tshwane Metropolitan Municipalit
-25.748740000000002,28.190110000000001,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.042206161826562,28.190110000000001,-25.748740000000002,28.152546760000000,-25.767984819999999,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.746939999999999,27.556390000000000,Platinum,"3",27.500009259999999,-25.709889140000001,"1",0.067465206363630,27.556390000000000,-25.746939999999999,27.500009259999999,-25.709889140000001,27.520000000000003,-25.760000000000002,27.680000000000000,-25.600000000000001,"3280",Local Municipality of Madibeng
-25.746300000000002,28.186789999999998,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.040531850489828,28.186789999999998,-25.746300000000002,28.152546760000000,-25.767984819999999,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.744280000000000,28.306249999999999,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.040378256158873,28.306249999999999,-25.744280000000000,28.346422170000000,-25.740205650000000,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.743890000000000,27.898330000000001,Lead,"11",27.853920760000001,-25.814283419999999,"1",0.083231089003291,27.898330000000001,-25.743890000000000,27.853920760000001,-25.814283419999999,27.840000000000000,-25.760000000000002,28.000000000000000,-25.600000000000001,"3289",Local Municipality of Madibeng
